Authors,Journal,YearPublication,DOI_ISBN,n_spp,n_pop,n_mat,source
Portela; Bruna; dos Santos,Biodivers Conserv,2010,10.1007/s10531-010-9846-5,1,1,3,old
Prendeville; Tenhumberg; Pilson,New Phyto,2014,10.1111/nph.12730,1,4,4,old
Putnam,PhD thesis,2013,NA,1,3,3,old
Raghu; Osunkoya; Perrett; Pichancourt,Bas Appl Ecol,2014,10.1016/j.baae.2014.08.006,1,1,3,old
Ream,PhD thesis,2011,NA,1,4,27,old
Rodriguez-Perez; Traveset,Oikos,2012,10.1111/j.1600-0706.2011.19946.x,1,6,47,old
Sampaio; Scariot,J Trop Ecol,2010,10.1017/S0266467409990599,1,1,5,old
Scanga,Plant Ecol,2014,10.1007/s11258-014-0344-9,1,8,8,old
Scanga; Leopold,Biol Cons,2012,10.1016/j.biocon.2012.01.061,1,1,5,old
Shefferson; Warren II.; Pulliam,J Ecol,2014,10.1111/1365-2745.12281,1,1,1,old
Shryock; Esque; Hughes,Am J Bot,2014,10.3732/ajb.1400035,1,5,93,old
Silva; Mejias; Garcia,Bas Appl Ecol,2015,10.1016/j.baae.2015.02.009,1,1,1,old
Sletvold; Agren,J Ecol,2015,10.1111/1365-2745.12430,1,2,2,old
Sletvold; Dahlgren; Øien; Moen; Ehrlen,Glob Change Biol,2013,10.1111/gcb.12167,1,1,1,old
Sletvold; Øien; Moen,Biol Cons,2010,10.1016/j.biocon.2009.12.017,1,3,3,old
Squires,PhD thesis,2010,NA,2,2,2,old
Stas; Langbroek; Bitariho; Sheil; Zuidema,Afr J Ecol,2016,10.1111/aje.12309,1,1,1,old
Sánchez-Velásquez; Pineda-López,Popul Ecol,2010,10.1007/s10144-009-0161-5,1,1,4,old
Tendland,MSc thesis,2011,NA,1,1,2,old
Thorpe; Stanley; Kayne; Latham,Report,2011,NA,1,4,28,old
Ticktin; Ganesan; Paramesha; Setty,J Appl Ecol,2012,10.1111/j.1365-2664.2012.02156.x,2,2,8,old
Torres; Casas; Vega; Martinez-Ramos; Delgado-Lemus,Econ Bot,2015,10.1007/s12231-014-9295-2,1,2,2,old
Toräng; Ehrlén; Ågren,Oecologia,2010,10.1007/s00442-009-1552-1,1,3,16,old
Valdes; Garcia; Garcia; Ehrlen,Ecography,2013,10.1111/j.1600-0587.2013.00216.x,1,16,46,old
Villellas; Morris; Garcia,Ecography,2013,NA,1,12,45,old
Wall; Hoffmann; Wentworth; Gray; Hohmann,Plant Ecol,2012,10.1007/s11258-012-0068-7,1,1,1,old
Wallin; Svensson,Folia Geobot,2012,10.1007/s12224-012-9123-3,1,2,2,old
Winter; Jung; Eckstein; Otte; Donath; Kriechbaum,J Appl Ecol,2014,10.1111/1365-2664.12217,1,2,8,old
Zepeda Martinez,thesis,2010,NA,1,1,1,old
Zepeda-Martinez; Manujano; Mandujano; Golubov,J Arid Env,2013,10.1016/j.jaridenv.2012.08.006,1,1,3,old
Álvarez-Yépiz; Dovčiak; Búrquez,Biol Cons,2011,10.1016/j.biocon.2010.08.007,1,1,1,old
Černá; Münzbergová,PLoS ONE,2013,10.1371/journal.pone.0075563,2,13,31,old
