years,months,Site,ppt,tmean
1991,12,Haynes,16.71999931,-5.760000229
1992,1,Haynes,6.070000172,-5.565000057
1992,2,Haynes,15.57999992,-0.755000114
1992,3,Haynes,9.220000267,4.114999771
1992,4,Haynes,18.62999916,6.964999676
1992,5,Haynes,14.35999966,11.78999996
1992,6,Haynes,71.55999756,15.56000042
1992,7,Haynes,35.77999878,16.16500092
1992,8,Haynes,3.390000105,18.45999908
1992,9,Haynes,17.55999947,11.75
1992,10,Haynes,37.11999893,8.444999695
1992,11,Haynes,23.90999985,-3.575000048
1992,12,Haynes,35.77000046,-8.210000038
1993,1,Haynes,17.54999924,-9.760000229
1993,2,Haynes,13.98999977,-6.774999619
1993,3,Haynes,33.93000031,2.204999924
1993,4,Haynes,38.29000092,4.069999695
1993,5,Haynes,29.87999916,11.86499977
1993,6,Haynes,82.5,11.94000053
1993,7,Haynes,57.59999847,13.18499947
1993,8,Haynes,40.16999817,15.125
1993,9,Haynes,3.059999943,12.40499973
1993,10,Haynes,18.39999962,6.875
1993,11,Haynes,9.239999771,-3.964999676
1993,12,Haynes,13.39999962,-5.940000057
1994,1,Haynes,24.39999962,-3.859999895
1994,2,Haynes,33.15000153,-5.480000019
1994,3,Haynes,6.989999771,1.679999828
1994,4,Haynes,25.98999977,6.444999695
1994,5,Haynes,42.11999893,11.33500004
1994,6,Haynes,23.11000061,14.25500011
1994,7,Haynes,19.45000076,18.59000015
1994,8,Haynes,8.600000381,19.35000038
1994,9,Haynes,2.730000019,14.90500069
1994,10,Haynes,27.79000092,5.389999866
1994,11,Haynes,34.61000061,-4.489999771
1994,12,Haynes,26.44000053,-5.510000229
1995,1,Haynes,28.56999969,-6.980000019
1995,2,Haynes,10.52999973,-0.63499999
1995,3,Haynes,41.66999817,-0.060000181
1995,4,Haynes,41.43000031,3.914999962
1995,5,Haynes,77.08000183,8.239999771
1995,6,Haynes,70.63999939,12.31999969
1995,7,Haynes,44.06999969,17.68000031
1995,8,Haynes,10.63000011,17.63000107
1995,9,Haynes,24.70999908,13.78999996
1995,10,Haynes,23.04000092,4.169999599
1995,11,Haynes,41.83000183,0.370000005
1995,12,Haynes,35.83000183,-4.65500021
1996,1,Haynes,39.70000076,-6.349999905
1996,2,Haynes,24.17000008,-5.025000095
1996,3,Haynes,38.75999832,-0.105000019
1996,4,Haynes,32.27999878,5.014999866
1996,5,Haynes,47.43999863,7.420000076
1996,6,Haynes,17.23999977,14.47999954
1996,7,Haynes,5.739999771,19.38500023
1996,8,Haynes,7.179999828,18.47999954
1996,9,Haynes,5.889999866,11.68499947
1996,10,Haynes,23.01000023,6.134999752
1996,11,Haynes,33.52999878,-0.184999943
1996,12,Haynes,46.95000076,-5.309999943
1997,1,Haynes,49.81999969,-6.68500042
1997,2,Haynes,21.68000031,-3.965000153
1997,3,Haynes,17.69000053,0.819999933
1997,4,Haynes,37.34999847,2.835000038
1997,5,Haynes,23.10000038,10.69999981
1997,6,Haynes,66,14.27499962
1997,7,Haynes,30.45999908,17.21999931
1997,8,Haynes,28.69000053,17.81999969
1997,9,Haynes,34.36999893,13.61999989
1997,10,Haynes,50.25999832,5.65500021
1997,11,Haynes,18.04000092,-0.440000057
1997,12,Haynes,13.63000011,-7.005000114
1998,1,Haynes,44.81999969,-4.215000153
1998,2,Haynes,17.13999939,-3.28000021
1998,3,Haynes,11.31999969,0.289999962
1998,4,Haynes,40.47000122,5.135000229
1998,5,Haynes,56.20999908,10.18000031
1998,6,Haynes,62.13000107,11.04500008
1998,7,Haynes,37.86000061,20.63500023
1998,8,Haynes,11.27999973,19.45999908
1998,9,Haynes,29.72999954,15.81500053
1998,10,Haynes,11.06000042,6.099999905
1998,11,Haynes,32.25999832,0.879999995
1998,12,Haynes,36.75999832,-6.904999733
1999,1,Haynes,31.14999962,-3.539999962
1999,2,Haynes,25.90999985,-3.815000057
1999,3,Haynes,20.68000031,0.695000172
1999,4,Haynes,15.97999954,3.385000229
1999,5,Haynes,35.54999924,8.385000229
1999,6,Haynes,35.72000122,12.78000069
1999,7,Haynes,0,18.24499893
1999,8,Haynes,20.97999954,18.98500061
1999,9,Haynes,7.53000021,12.35000038
1999,10,Haynes,7,8.404999733
1999,11,Haynes,16.81999969,2.910000086
1999,12,Haynes,22.85000038,-4.119999886
2000,1,Haynes,41.79000092,-5.735000134
2000,2,Haynes,21.54000092,-1.290000081
2000,3,Haynes,16.27000046,1.269999981
2000,4,Haynes,15.23999977,7.140000343
2000,5,Haynes,29.94000053,9.880000114
2000,6,Haynes,9.590000153,14.56000042
2000,7,Haynes,7.150000095,19.32500076
2000,8,Haynes,7.960000038,19.26499939
2000,9,Haynes,25.14999962,11.89999962
2000,10,Haynes,57.02000046,6.544999599
2000,11,Haynes,29.10000038,-4.934999943
2000,12,Haynes,13.34000015,-5.869999886
2001,1,Haynes,13.5,-6.164999962
2001,2,Haynes,14.63000011,-4.799999714
2001,3,Haynes,20.71999931,1.804999948
2001,4,Haynes,46.25,4.414999962
2001,5,Haynes,12.69999981,11.06000042
2001,6,Haynes,36.56999969,14.13500023
2001,7,Haynes,28.5,19.15000153
2001,8,Haynes,3.539999962,20.02499962
2001,9,Haynes,33.70000076,15.68000031
2001,10,Haynes,22.18000031,6.855000019
2001,11,Haynes,16.21999931,2.210000038
2001,12,Haynes,22.37999916,-7.085000038
2002,1,Haynes,21.5,-5.835000038
2002,2,Haynes,11.02000046,-4.400000095
2002,3,Haynes,20.32999992,-1.230000019
2002,4,Haynes,30.97999954,4.794999599
2002,5,Haynes,31.55999947,9.010000229
2002,6,Haynes,43.33000183,14.58500004
2002,7,Haynes,14.35000038,20.53000069
2002,8,Haynes,22.18000031,16.55500031
2002,9,Haynes,14.5,13.76499939
2002,10,Haynes,6.059999943,4.690000057
2002,11,Haynes,21.34000015,-1.149999976
2002,12,Haynes,14.36999989,-3.309999943
2003,1,Haynes,35.97999954,-2.430000067
2003,2,Haynes,39.15000153,-4.214999676
2003,3,Haynes,26.89999962,1.51000011
2003,4,Haynes,46.15999985,5.159999847
2003,5,Haynes,18.39999962,9.850000381
2003,6,Haynes,10.51000023,14.84000015
2003,7,Haynes,10.06999969,21.47500038
2003,8,Haynes,22.12000084,20.76000023
2003,9,Haynes,9.130000114,14.11999989
2003,10,Haynes,7.760000229,9.51499939
2003,11,Haynes,15.82999992,-3.380000114
2003,12,Haynes,29.05999947,-3.815000057
2004,1,Haynes,19.45000076,-5.865000248
2004,2,Haynes,17.87999916,-3.684999943
2004,3,Haynes,5.199999809,4.289999962
2004,4,Haynes,17.95000076,6.879999638
2004,5,Haynes,62.75999832,9.369999886
2004,6,Haynes,35.38999939,14.13500023
2004,7,Haynes,33.18000031,18.85000038
2004,8,Haynes,21.43000031,17.56000137
2004,9,Haynes,32.13999939,12.13500023
2004,10,Haynes,33.99000168,7.125
2004,11,Haynes,3.460000038,-0.269999981
2004,12,Haynes,20.14999962,-3.220000029
2005,1,Haynes,10.18000031,-4.239999771
2005,2,Haynes,3.200000048,-2.25
2005,3,Haynes,16.06999969,1.974999905
2005,4,Haynes,19.48999977,5.640000343
2005,5,Haynes,58.09999847,9.609999657
2005,6,Haynes,64.27999878,12.14500046
2005,7,Haynes,4.159999847,19.52499962
2005,8,Haynes,14.56999969,18.68499947
2005,9,Haynes,21.32999992,12.8949995
2005,10,Haynes,17.45000076,8.100000381
2005,11,Haynes,47.65999985,-1.740000129
2005,12,Haynes,25.75,-6.630000114
2006,1,Haynes,37.90999985,-3.519999981
2006,2,Haynes,10.10000038,-5.210000038
2006,3,Haynes,22.96999931,-0.140000105
2006,4,Haynes,49.59999847,6.25
2006,5,Haynes,20.15999985,11.03499985
2006,6,Haynes,39.97000122,15.69999981
2006,7,Haynes,9.029999733,21.75
2006,8,Haynes,8.829999924,18.20999908
2006,9,Haynes,28.39999962,12.81000042
2006,10,Haynes,42.38999939,6.289999962
2006,11,Haynes,24.22999954,0.005000114
2006,12,Haynes,18.92000008,-4.679999828
2007,1,Haynes,10.68999958,-7.460000038
2007,2,Haynes,30.06999969,-1.639999866
2007,3,Haynes,15.28999996,3.444999695
2007,4,Haynes,20.97999954,6.304999828
2007,5,Haynes,27.67000008,10.55000019
2007,6,Haynes,37.31000137,15.41499996
2007,7,Haynes,13.68999958,22.26499939
2007,8,Haynes,7.75,18.70000076
2007,9,Haynes,34.33000183,12.55999947
2007,10,Haynes,32.91999817,5.96999979
2007,11,Haynes,20.60000038,0.019999981
2007,12,Haynes,29.70999908,-6.320000172
2008,1,Haynes,25.28000069,-8.119999886
2008,2,Haynes,12.90999985,-2.394999981
2008,3,Haynes,18.87999916,-1.089999914
2008,4,Haynes,12.06999969,2.115000248
2008,5,Haynes,36.66999817,9.005000114
2008,6,Haynes,17.48999977,13.30000019
2008,7,Haynes,11.03999996,19.27000046
2008,8,Haynes,9.100000381,18.43999863
2008,9,Haynes,22.79000092,12.91499996
2008,10,Haynes,13.44999981,6.430000305
2008,11,Haynes,24.37999916,2.159999847
2008,12,Haynes,26.29000092,-6.380000114
