Authors,Journal,YearPublication,MatrixPopulation,MatrixStartYear,MatrixClassOrganized,MatrixClassAuthor,MatrixClassNumber,N
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Domicke skrapy (S2),2003,active,Large adult (six and more stems),4,32
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Domicke skrapy (S2),2004,prop,Seeds,1,97
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Domicke skrapy (S2),2004,active,Seedling,2,1
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Domicke skrapy (S2),2004,active,Small adult (1 stem higher than 10 cm; or 2-5 stems),3,100
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Domicke skrapy (S2),2004,active,Large adult (six and more stems),4,39
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Domicke skrapy (S2),2005,prop,Seeds,1,97
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Domicke skrapy (S2),2005,active,Seedling,2,4
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Domicke skrapy (S2),2005,active,Small adult (1 stem higher than 10 cm; or 2-5 stems),3,86
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Domicke skrapy (S2),2005,active,Large adult (six and more stems),4,39
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Zelezne vrata (S3),2003,prop,Seeds,1,97
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Zelezne vrata (S3),2003,active,Seedling,2,7
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Zelezne vrata (S3),2003,active,Small adult (1 stem higher than 10 cm; or 2-5 stems),3,81
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Zelezne vrata (S3),2003,active,Large adult (six and more stems),4,36
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Zelezne vrata (S3),2004,prop,Seeds,1,97
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Zelezne vrata (S3),2004,active,Seedling,2,4
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Zelezne vrata (S3),2004,active,Small adult (1 stem higher than 10 cm; or 2-5 stems),3,69
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Zelezne vrata (S3),2004,active,Large adult (six and more stems),4,48
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Zelezne vrata (S3),2005,prop,Seeds,1,97
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Zelezne vrata (S3),2005,active,Seedling,2,12
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Zelezne vrata (S3),2005,active,Small adult (1 stem higher than 10 cm; or 2-5 stems),3,75
Dostíçlek; Mí_nzbergova,Folia Geobot,2013,Zelezne vrata (S3),2005,active,Large adult (six and more stems),4,30
