"SpeciesAuthor","Stage","MatrixPopulation","MatrixStartYear","N"
"Eryngium_alpinum","2","BOU",2005,17
"Eryngium_alpinum","3","BOU",2005,25
"Eryngium_alpinum","4","BOU",2005,26
"Eryngium_alpinum","1","PRA",2005,261
"Eryngium_alpinum","2","PRA",2005,27
"Eryngium_alpinum","3","PRA",2005,57
"Eryngium_alpinum","4","PRA",2005,37
"Eryngium_alpinum","1","PRB",2005,191
"Eryngium_alpinum","2","PRB",2005,38
"Eryngium_alpinum","3","PRB",2005,90
"Eryngium_alpinum","4","PRB",2005,40
"Eryngium_alpinum","1","PRC",2005,573
"Eryngium_alpinum","2","PRC",2005,80
"Eryngium_alpinum","3","PRC",2005,53
"Eryngium_alpinum","4","PRC",2005,45
"Eryngium_alpinum","1","PRD",2005,26
"Eryngium_alpinum","2","PRD",2005,39
"Eryngium_alpinum","3","PRD",2005,58
"Eryngium_alpinum","4","PRD",2005,10
"Eryngium_alpinum","1","DES",2006,1388
"Eryngium_alpinum","2","DES",2006,201
"Eryngium_alpinum","3","DES",2006,52
"Eryngium_alpinum","4","DES",2006,28
"Eryngium_alpinum","1","BER",2006,1385
"Eryngium_alpinum","2","BER",2006,4
"Eryngium_alpinum","3","BER",2006,61
"Eryngium_alpinum","4","BER",2006,39
"Eryngium_alpinum","1","BOU",2006,2
"Eryngium_alpinum","2","BOU",2006,12
"Eryngium_alpinum","3","BOU",2006,39
"Eryngium_alpinum","4","BOU",2006,2
"Eryngium_alpinum","1","PRA",2006,211
"Eryngium_alpinum","2","PRA",2006,43
"Eryngium_alpinum","3","PRA",2006,63
"Eryngium_alpinum","4","PRA",2006,31
"Eryngium_alpinum","1","PRB",2006,90
"Eryngium_alpinum","2","PRB",2006,33
"Eryngium_alpinum","3","PRB",2006,84
"Eryngium_alpinum","4","PRB",2006,46
"Eryngium_alpinum","1","PRC",2006,1102
"Eryngium_alpinum","2","PRC",2006,107
"Eryngium_alpinum","3","PRC",2006,68
"Eryngium_alpinum","4","PRC",2006,32
"Eryngium_alpinum","1","PRD",2006,56
"Eryngium_alpinum","2","PRD",2006,32
"Eryngium_alpinum","3","PRD",2006,47
"Eryngium_alpinum","4","PRD",2006,23
"Eryngium_alpinum","1","DES",2007,743
"Eryngium_alpinum","2","DES",2007,234
"Eryngium_alpinum","3","DES",2007,28
"Eryngium_alpinum","4","DES",2007,81
"Eryngium_alpinum","1","BER",2007,819
"Eryngium_alpinum","2","BER",2007,7
"Eryngium_alpinum","3","BER",2007,46
"Eryngium_alpinum","4","BER",2007,50
"Eryngium_alpinum","1","BOU",2007,5
"Eryngium_alpinum","2","BOU",2007,8
"Eryngium_alpinum","3","BOU",2007,22
"Eryngium_alpinum","4","BOU",2007,16
"Eryngium_alpinum","1","PRA",2007,212
"Eryngium_alpinum","2","PRA",2007,40
"Eryngium_alpinum","3","PRA",2007,68
"Eryngium_alpinum","4","PRA",2007,30
"Eryngium_alpinum","1","PRB",2007,171
"Eryngium_alpinum","2","PRB",2007,36
"Eryngium_alpinum","3","PRB",2007,96
"Eryngium_alpinum","4","PRB",2007,33
"Eryngium_alpinum","1","PRC",2007,855
"Eryngium_alpinum","2","PRC",2007,116
"Eryngium_alpinum","3","PRC",2007,75
"Eryngium_alpinum","4","PRC",2007,20
"Eryngium_alpinum","1","PRD",2007,127
"Eryngium_alpinum","2","PRD",2007,30
"Eryngium_alpinum","3","PRD",2007,54
"Eryngium_alpinum","4","PRD",2007,16
"Eryngium_alpinum","1","DES",2008,801
"Eryngium_alpinum","2","DES",2008,290
"Eryngium_alpinum","3","DES",2008,102
"Eryngium_alpinum","4","DES",2008,6
"Eryngium_alpinum","1","BER",2008,427
"Eryngium_alpinum","2","BER",2008,6
"Eryngium_alpinum","3","BER",2008,75
"Eryngium_alpinum","4","BER",2008,18
"Eryngium_alpinum","1","BOU",2008,38
"Eryngium_alpinum","2","BOU",2008,9
"Eryngium_alpinum","3","BOU",2008,35
"Eryngium_alpinum","4","BOU",2008,0
"Eryngium_alpinum","1","PRA",2008,352
"Eryngium_alpinum","2","PRA",2008,53
"Eryngium_alpinum","3","PRA",2008,64
"Eryngium_alpinum","4","PRA",2008,36
"Eryngium_alpinum","1","PRB",2008,194
"Eryngium_alpinum","2","PRB",2008,33
"Eryngium_alpinum","3","PRB",2008,88
"Eryngium_alpinum","4","PRB",2008,41
"Eryngium_alpinum","1","PRC",2008,808
"Eryngium_alpinum","2","PRC",2008,151
"Eryngium_alpinum","3","PRC",2008,75
"Eryngium_alpinum","4","PRC",2008,17
"Eryngium_alpinum","1","PRD",2008,189
"Eryngium_alpinum","2","PRD",2008,28
"Eryngium_alpinum","3","PRD",2008,55
"Eryngium_alpinum","4","PRD",2008,13
"Eryngium_alpinum","1","DES",2009,366
"Eryngium_alpinum","2","DES",2009,395
"Eryngium_alpinum","3","DES",2009,73
"Eryngium_alpinum","4","DES",2009,43
"Eryngium_alpinum","1","BER",2009,135
"Eryngium_alpinum","2","BER",2009,6
"Eryngium_alpinum","3","BER",2009,18
"Eryngium_alpinum","4","BER",2009,75
"Eryngium_alpinum","1","BOU",2009,9
"Eryngium_alpinum","2","BOU",2009,10
"Eryngium_alpinum","3","BOU",2009,31
"Eryngium_alpinum","4","BOU",2009,7
"Eryngium_alpinum","1","PRA",2009,361
"Eryngium_alpinum","2","PRA",2009,58
"Eryngium_alpinum","3","PRA",2009,76
"Eryngium_alpinum","4","PRA",2009,35
"Eryngium_alpinum","1","PRB",2009,698
"Eryngium_alpinum","2","PRB",2009,37
"Eryngium_alpinum","3","PRB",2009,88
"Eryngium_alpinum","4","PRB",2009,44
"Eryngium_alpinum","1","PRC",2009,1136
"Eryngium_alpinum","2","PRC",2009,153
"Eryngium_alpinum","3","PRC",2009,65
"Eryngium_alpinum","4","PRC",2009,38
"Eryngium_alpinum","1","PRD",2009,200
"Eryngium_alpinum","2","PRD",2009,20
"Eryngium_alpinum","3","PRD",2009,39
"Eryngium_alpinum","4","PRD",2009,31
