Authors,Journal,YearPublication,Group,MatrixClassAuthor,MatrixClassNumber,N
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Bruno 2006,Adults III: >10 cm plant diameter,6,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Bruno 2006,Clonal infantiles: < 2 cm plant diameter,7,17
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Bruno 2006,Clonal juveniles: 2.01-4 cm plant diameter,8,36
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Bruno 2006,Clonal adults I:  4.01-7 cm plant diameter,9,54
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Bruno 2006,Clonal Adults 2: 7.01-10 cm plant diameter,10,3
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2004,Pl��ntulas: < 1 cm plant diameter,1,NA
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2004,Infantiles: 1.01-2 cm plant diameter,2,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2004,Juveniles: 2.01-4 cm plant diameter,3,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2004,Adults I: 4.01-7 cm plant diameter,4,16
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2004,Adults II: 7.01-10 cm plant diameter,5,21
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2004,Adults III: >10 cm plant diameter,6,9
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2004,Clonal infantiles: < 2 cm plant diameter,7,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2004,Clonal juveniles: 2.01-4 cm plant diameter,8,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2004,Clonal adults I:  4.01-7 cm plant diameter,9,19
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2004,Clonal Adults 2: 7.01-10 cm plant diameter,10,9
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2005,Pl��ntulas: < 1 cm plant diameter,1,NA
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2005,Infantiles: 1.01-2 cm plant diameter,2,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2005,Juveniles: 2.01-4 cm plant diameter,3,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2005,Adults I: 4.01-7 cm plant diameter,4,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2005,Adults II: 7.01-10 cm plant diameter,5,22
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2005,Adults III: >10 cm plant diameter,6,9
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2005,Clonal infantiles: < 2 cm plant diameter,7,12
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2005,Clonal juveniles: 2.01-4 cm plant diameter,8,6
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2005,Clonal adults I:  4.01-7 cm plant diameter,9,20
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2005,Clonal Adults 2: 7.01-10 cm plant diameter,10,11
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2006,Pl��ntulas: < 1 cm plant diameter,1,NA
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2006,Infantiles: 1.01-2 cm plant diameter,2,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2006,Juveniles: 2.01-4 cm plant diameter,3,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2006,Adults I: 4.01-7 cm plant diameter,4,8
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2006,Adults II: 7.01-10 cm plant diameter,5,17
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2006,Adults III: >10 cm plant diameter,6,11
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2006,Clonal infantiles: < 2 cm plant diameter,7,12
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2006,Clonal juveniles: 2.01-4 cm plant diameter,8,4
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2006,Clonal adults I:  4.01-7 cm plant diameter,9,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Felipe 2006,Clonal Adults 2: 7.01-10 cm plant diameter,10,9
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2004,Pl��ntulas: < 1 cm plant diameter,1,NA
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2004,Infantiles: 1.01-2 cm plant diameter,2,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2004,Juveniles: 2.01-4 cm plant diameter,3,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2004,Adults I: 4.01-7 cm plant diameter,4,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2004,Adults II: 7.01-10 cm plant diameter,5,9
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2004,Adults III: >10 cm plant diameter,6,11
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2004,Clonal infantiles: < 2 cm plant diameter,7,22
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2004,Clonal juveniles: 2.01-4 cm plant diameter,8,22
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2004,Clonal adults I:  4.01-7 cm plant diameter,9,18
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2004,Clonal Adults 2: 7.01-10 cm plant diameter,10,14
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2005,Pl��ntulas: < 1 cm plant diameter,1,NA
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2005,Infantiles: 1.01-2 cm plant diameter,2,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2005,Juveniles: 2.01-4 cm plant diameter,3,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2005,Adults I: 4.01-7 cm plant diameter,4,3
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2005,Adults II: 7.01-10 cm plant diameter,5,7
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2005,Adults III: >10 cm plant diameter,6,9
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2005,Clonal infantiles: < 2 cm plant diameter,7,21
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2005,Clonal juveniles: 2.01-4 cm plant diameter,8,20
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2005,Clonal adults I:  4.01-7 cm plant diameter,9,21
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Las Coloradas 2005,Clonal Adults 2: 7.01-10 cm plant diameter,10,14
