Authors,Journal,YearPublication,Group,MatrixClassAuthor,MatrixClassNumber,N
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2005,Infantiles: 1.01-2 cm plant diameter,2,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2005,Juveniles: 2.01-4 cm plant diameter,3,12
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2005,Adults I: 4.01-7 cm plant diameter,4,20
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2005,Adults II: 7.01-10 cm plant diameter,5,27
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2005,Adults III: >10 cm plant diameter,6,8
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2005,Clonal infantiles: < 2 cm plant diameter,7,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2005,Clonal juveniles: 2.01-4 cm plant diameter,8,6
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2005,Clonal adults I:  4.01-7 cm plant diameter,9,17
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2005,Clonal Adults 2: 7.01-10 cm plant diameter,10,6
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2006,Pl��ntulas: < 1 cm plant diameter,1,NA
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2006,Infantiles: 1.01-2 cm plant diameter,2,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2006,Juveniles: 2.01-4 cm plant diameter,3,7
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2006,Adults I: 4.01-7 cm plant diameter,4,18
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2006,Adults II: 7.01-10 cm plant diameter,5,16
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2006,Adults III: >10 cm plant diameter,6,7
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2006,Clonal infantiles: < 2 cm plant diameter,7,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2006,Clonal juveniles: 2.01-4 cm plant diameter,8,13
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,Aruba 2006,Clonal adults I:  4.01-7 cm plant diameter,9,9
