"Year","Month","SpeciesAuthor","MatrixPopulation","Lon","Lat","n_year","tmp","ppt"
1981,1,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,-2.24900007247925,33.4300003051758
1981,2,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,-0.826000034809113,38.201000213623
1981,3,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,3.23700022697449,22.2450008392334
1981,4,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,6.95900011062622,36.810001373291
1981,5,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,11.3290004730225,88.8190002441406
1981,6,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,11.9370002746582,131.897994995117
1981,7,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,16.6160011291504,54.6650009155273
1981,8,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,19.576000213623,11.173999786377
1981,9,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,12.701000213623,31.7770004272461
1981,10,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,5.85200023651123,13.33899974823
1981,11,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,2.2480001449585,39.0719985961914
1981,12,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,-4.24700021743774,44.5190010070801
1982,1,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,-7.56800031661987,67.1139984130859
1982,2,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,-3.78500008583069,87.9820022583008
1982,3,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,2.70100021362305,40.0579986572266
1982,4,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,3.97900009155273,51.306999206543
1982,5,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,9.875,34.2960014343262
1982,6,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,15.7870006561279,76.0989990234375
1982,7,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,16.3400001525879,64.370002746582
1982,8,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,18.1160011291504,20.617000579834
1982,9,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,12.6500005722046,54.1180000305176
1982,10,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,5.90800046920776,18.4710006713867
1982,11,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,-1.45100009441376,41.7680015563965
1982,12,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,-4.84600019454956,53.523998260498
1983,1,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,-0.870000064373016,38.5970001220703
1983,2,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,1.10600006580353,24.7679996490479
1983,3,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,3.62900018692017,48.0470008850098
1983,4,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,6.15200042724609,51.9339981079102
1983,5,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,11.1090002059937,20.3419990539551
1983,6,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,14.0040006637573,74.4810028076172
1983,7,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,16.2800006866455,90.7300033569336
1983,8,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,19.1340007781982,34.5929985046387
1983,9,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,10.7960004806519,19.3610000610352
1983,10,"Silene_spaldingii","Eureka",-115.05,48.9666666666667,12,6.6560001373291,20.3479995727539
